名称,总价,单价,产权信息,户型,楼层,建筑面积,户型结构,套内面积,建筑类型,朝向,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域
马家堡角门南北通透两居室  双阳台 交通便利,399,52897,非共有,2室1厅1厨1卫,高楼层 (共6层),75.43㎡,平层,暂无数据,板楼,南 北 西,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
马家堡角门近地铁 南北通透 格局好 采光充足 配套齐全,416,60203,非共有,2室1厅1厨1卫,中楼层 (共6层),69.1㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
角门东里，满五唯一，诚心出售，看房方便,377,51202,共有,2室1厅1厨1卫,高楼层 (共19层),73.63㎡,平层,暂无数据,塔楼,东南 北,钢混结构,精装,两梯八户,集中供暖,有,丰台,角门
角门 马家堡  角门东里  南向两居室角门东站,387,59723,非共有,2室1厅1厨1卫,低楼层 (共19层),64.8㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,丰台,角门
马家堡角门 南北通透 低楼层满五唯一 两居室,305,56587,非共有,2室1厅1厨1卫,低楼层 (共6层),53.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,丰台,角门
角门马家堡 满五唯一 地铁10号线4号线角门西站,330,60999,非共有,2室1厅1厨1卫,低楼层 (共6层),54.1㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,丰台,角门
马家堡角门东司达小区三居室低楼层精装修,398,52286,非共有,3室1厅1厨1卫,低楼层 (共6层),76.12㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,丰台,角门
阳光花园角门东马家堡大红门南北两居,680,75564,共有,2室1厅1厨1卫,顶层 (共19层),89.99㎡,平层,66.1㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,丰台,角门
角门，马家堡，洋桥，满五年唯一正规二居室,403,57245,非共有,2室1厅1厨1卫,高楼层 (共6层),70.4㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
洋桥，马家堡，角门东里小区二居室,325,60063,非共有,2室1厅1厨1卫,高楼层 (共6层),54.11㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
角门西，地铁4号线10号线，高楼层，采光好,420,58766,非共有,2室1厅1厨1卫,中楼层 (共18层),71.47㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯十二户,集中供暖,有,丰台,角门
10号线角门东怡然家园全南向两居室中楼层,500,57294,非共有,2室1厅1厨1卫,中楼层 (共6层),87.27㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,自供暖,无,丰台,角门
马家堡 首座绿洲 精装一居 满五唯一 双线地铁,365,58729,非共有,1室1厅1厨1卫,中楼层 (共21层),62.15㎡,平层,暂无数据,塔楼,北,钢混结构,精装,三梯十二户,集中供暖,有,丰台,角门
马家堡 角门 正规三居带客厅  商品房 无遮挡 采光好,470,55191,非共有,3室1厅1厨1卫,高楼层 (共6层),85.16㎡,平层,74.1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
4号线、10号线双地铁  南北通透 满五年唯一 必看好房,375,50141,非共有,3室1厅1厨1卫,顶层 (共6层),74.79㎡,平层,65.79㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,丰台,角门
马家堡 角门 角门东里 高楼层精装修 满五年唯一,463,51076,共有,3室1厅1厨1卫,高楼层 (共19层),90.65㎡,平层,暂无数据,塔楼,西南 北,钢混结构,精装,两梯八户,集中供暖,有,丰台,角门
10号线角门东怡然家园大三居南北通透商品房诚心卖,745,55689,非共有,3室1厅1厨2卫,中楼层 (共16层),133.78㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,丰台,角门
马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418,61525,非共有,3室1厅1厨1卫,低楼层 (共6层),67.94㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,丰台,角门
马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750,56673,非共有,3室1厅1厨2卫,中楼层 (共11层),132.34㎡,平层,112.52㎡,板塔结合,南 北,钢混结构,简装,一梯两户,自供暖,有,丰台,角门
马家堡 大红门35号院 南北朝向 正规两居,240,36370,非共有,2室1厅1厨1卫,地下室 (共6层),65.99㎡,平层,57.92㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,丰台,角门
