编码,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
0,马家堡角门南北通透两居室  双阳台 交通便利,399,52897,0,75.43,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,1,1,0,0,0,0,2
1,马家堡角门近地铁 南北通透 格局好 采光充足 配套齐全,416,60203,0,69.1,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
2,角门东里，满五唯一，诚心出售，看房方便,377,51202,1,73.63,0,1,0,0,0.25,0,0,1,209,1,1,1,2,19,0,0,0,1,1,0,0,0,2
3,角门 马家堡  角门东里  南向两居室角门东站,387,59723,0,64.8,0,1,0,0,0.25,0,0,1,209,1,1,1,1,19,0,1,0,0,0,0,0,0,2
4,马家堡角门 南北通透 低楼层满五唯一 两居室,305,56587,0,53.9,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
5,角门马家堡 满五唯一 地铁10号线4号线角门西站,330,60999,0,54.1,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
6,马家堡角门东司达小区三居室低楼层精装修,398,52286,0,76.12,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,3
7,阳光花园角门东马家堡大红门南北两居,680,75564,1,89.99,0,0,0,0,1,0,0,1,209,1,1,1,3,19,0,1,0,1,0,0,0,0,2
8,角门，马家堡，洋桥，满五年唯一正规二居室,403,57245,0,70.4,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
9,洋桥，马家堡，角门东里小区二居室,325,60063,0,54.11,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
10,角门西，地铁4号线10号线，高楼层，采光好,420,58766,0,71.47,0,1,0,1,0.166666667,0,0,1,209,1,1,1,0,18,0,1,0,0,0,0,0,0,2
11,10号线角门东怡然家园全南向两居室中楼层,500,57294,0,87.27,0,0,1,1,0.333333333,1,1,1,209,1,1,1,0,6,0,1,0,0,0,0,0,0,2
12,马家堡 首座绿洲 精装一居 满五唯一 双线地铁,365,58729,0,62.15,0,1,0,0,0.25,0,0,1,209,1,1,1,0,21,0,0,0,1,0,0,0,0,1
13,马家堡 角门 正规三居带客厅  商品房 无遮挡 采光好,470,55191,0,85.16,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,3
14,4号线、10号线双地铁  南北通透 满五年唯一 必看好房,375,50141,0,74.79,0,0,1,1,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,3
15,马家堡 角门 角门东里 高楼层精装修 满五年唯一,463,51076,1,90.65,0,1,0,0,0.25,0,0,1,209,1,1,1,2,19,0,0,0,1,0,0,1,0,3
16,10号线角门东怡然家园大三居南北通透商品房诚心卖,745,55689,0,133.78,0,0,0,1,0.5,1,0,1,209,1,1,2,0,16,0,1,0,1,0,0,0,0,3
17,马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418,61525,0,67.94,0,0,1,1,0.5,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,3
18,马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750,56673,0,132.34,0,2,0,1,0.5,1,0,1,209,1,1,2,0,11,0,1,0,1,0,0,0,0,3
19,马家堡 大红门35号院 南北朝向 正规两居,240,36370,0,65.99,0,0,1,1,0.333333333,0,1,1,209,1,1,1,5,6,0,1,0,1,0,0,0,0,2
20,司达小区3居，南北通透，2层/6层,319,56005,0,56.96,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,1,1,0,1,0,0,0,0,3
21,10号线角门东怡然家园6号院带电梯商品房两居室诚心卖,316,58368,0,54.14,0,0,1,1,0.25,1,0,1,209,1,1,1,2,6,1,0,1,1,0,0,0,0,2
22,满五年，双地铁，4号线和10号线,259,44942,1,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,4,18,0,0,1,0,0,0,0,0,1
23,4+10号线角门西地铁，全南向两居室，无遮挡，采光好,510,56373,0,90.47,0,2,0,0,0.25,0,0,1,209,1,1,1,2,15,0,1,0,0,0,0,0,0,2
24,10号线角门东大红门35号院低楼层两居室商品房诚心售,360,53350,0,67.48,0,0,1,0,0.5,0,1,1,209,1,1,1,1,6,1,0,1,0,0,0,0,0,2
25,康缘居 南北通透 两居室 带电梯 楼龄新 房本满五年,455,50924,0,89.35,0,0,0,1,0.222222222,0,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
26,西马场路6号院 有钥匙商品房 诚意出售,570,50479,0,112.92,0,0,0,1,0.333333333,1,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
27,角门东里 满五唯一 诚心出售 10号线4号线角门西地铁,447,52601,0,84.98,0,1,0,0,0.166666667,0,0,1,209,1,1,1,0,18,0,0,0,0,0,1,0,0,2
28,马家堡角门 低楼层 西南两居 交通便利,310,60547,0,51.2,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,0,0,0,0,0,1,0,2
29,角门 洋桥 角门东里 满五 全明格局,335,56021,0,59.8,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
30,马家堡  角门  精装修  复式格局  南北通透  近地铁,460,69877,0,65.83,1,0,1,0,0.5,0,1,1,209,2,1,2,3,6,0,1,0,1,0,0,0,0,3
31,房子满五年唯一，精装修，近地铁，交通便利，楼龄新,608,60552,0,100.41,0,2,0,0,0.25,0,0,1,209,1,1,1,4,14,0,1,0,1,0,0,0,0,2
32,角门，阳光花园，人车分流，南北通透全明格局,1050,75698,0,138.71,0,0,0,1,1,0,0,1,209,1,1,2,2,19,0,1,0,1,0,0,0,0,3
33,角门甲4号院 精装修 南向采光无遮挡 近地铁10号线诚售,280,65011,0,43.07,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,0,0,0,0,0,1
34,马家堡商圈 角门东里 南北通透 满五年唯一 近10号线,329,62667,0,52.5,0,0,1,0,0.5,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
35,角门马家堡大红门精装复式怡然家园6号院,999,53142,1,187.99,1,2,0,0,0.5,1,0,1,209,2,1,2,3,11,0,1,0,1,0,0,0,0,3
36,大红门 西马场北里 南北通透两居室 满五唯一,339,62778,0,54,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
37,诚心出售 10号线角门东/4号线角门西地铁  角门东里,330,57292,0,57.6,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
38,洋桥 角门 马家堡 复式三居 满五唯一 南北通透近地铁,572,59858,0,95.56,1,0,1,0,0.5,0,1,1,209,2,1,2,3,6,0,1,0,1,0,0,0,0,3
39,马家堡 枫南世嘉 满五年，电梯，采光好，格局方正,580,56278,0,103.06,0,2,0,1,0.333333333,0,0,1,209,1,1,1,1,14,0,1,1,0,0,0,0,0,3
40,10号线马家堡角门东怡然家园满五唯一南北通透三居室,680,54188,0,125.49,0,0,0,0,0.5,1,0,1,209,1,1,2,4,11,0,1,0,1,0,0,0,0,3
41,精装修南北三居室，诚意出售，看房方便,458,55435,1,82.62,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
42,角门 西马小区  南北通透 正规三居 带客厅 采光充足,468,54956,0,85.16,0,0,1,0,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,3
43,角门甲4号院 南北低楼层 视野开阔,330,59643,0,55.33,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
44,怡然家园6号院精装修大客厅复式  无遮挡无浪费,645,55503,0,116.21,1,0,1,0,0.333333333,1,1,1,209,1,1,2,0,6,0,1,0,0,0,0,0,0,2
45,首座绿洲 南向 三居室 中间层 采光好,780,61423,0,126.99,0,1,0,0,0.25,0,0,1,209,1,1,2,0,21,0,1,0,0,0,0,0,0,3
46,满五唯一，电梯，公摊小，户型好,892,53986,0,165.23,1,0,1,1,0.333333333,1,1,1,209,3,1,2,2,7,0,1,0,1,0,0,0,0,4
47,马家堡 10号线角门东  正规两居室  南北通透 不临街,420,55748,0,75.34,0,0,1,1,0.333333333,1,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
48,司达小区，马家堡角门，不临街，满五唯一。,351,52950,0,66.29,0,0,1,1,0.25,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
49,马家堡 角门 角门东里 南北两居 值得一看,289,48490,0,59.6,0,0,1,2,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
50,南北通透无遮挡，采光好，视野佳，人车分流,685,78367,0,87.41,0,0,0,1,0.666666667,0,0,1,209,1,1,1,0,19,0,1,0,1,0,0,0,0,2
51,马家堡 角门 角门东里 大两居,410,55684,0,73.63,0,1,0,1,0.25,0,0,1,209,1,1,1,1,19,1,1,0,1,0,0,0,0,2
52,司达小区 全南向两居室 采光好,278,55050,0,50.5,0,0,1,0,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,0,0,0,0,0,2
53,马家堡，角门正规两居，东南角，中间层，精装修,320,62955,0,50.83,0,1,1,0,0.2,0,1,1,209,1,1,1,0,6,0,0,0,0,1,0,0,0,2
54,角门东马家堡大红门洋桥一居室，户型方正，采光好,298,51710,0,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,0,18,1,0,1,0,0,0,0,0,1
