id ,title,price, unit price,Property information,floor area,House structure,Building Type,Architectural structure,Interior design,ladder ratio,heating,elevator,District,Specific area,hall,kitchen,toilet,Floor type,total floors,east,south,west,north,east-south,east-north,west-south,west-north,room,Longtitude,Latitude,PublishTime,imgUrl,collected
0,马家堡角门南北通透两居室  双阳台 交通便利,399,52897,non_co_ownership,75.43,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,west,north,no,no,no,no,2,116.0374015186029,40.55955971137603,None,None,FALSE
1,马家堡角门近地铁 南北通透 格局好 采光充足 配套齐全,416,60203,non_co_ownership,69.1,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,116.33224414361088,40.53585973867179,None,None,FALSE
2,角门东里，满五唯一，诚心出售，看房方便,377,51202,co_ownership,73.63,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,southeast,no,no,no,2,115.34114639300512,39.26795906173734,None,None,FALSE
3,角门 马家堡  角门东里  南向两居室角门东站,387,59723,non_co_ownership,64.8,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,no,2,116.4365542258701,40.104350278757714,None,None,FALSE
4,马家堡角门 南北通透 低楼层满五唯一 两居室,305,56587,non_co_ownership,53.9,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.385664557016,40.35608457163193,None,None,FALSE
5,角门马家堡 满五唯一 地铁10号线4号线角门西站,330,60999,non_co_ownership,54.1,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.50478002284628,40.76993712962437,None,None,FALSE
6,马家堡角门东司达小区三居室低楼层精装修,398,52286,non_co_ownership,76.12,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,115.67908430714324,40.30687703030878,None,None,FALSE
7,阳光花园角门东马家堡大红门南北两居,680,75564,co_ownership,89.99,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,top_floor,19,no,south,no,north,no,no,no,no,2,115.0593489524267,39.018368576176044,None,None,FALSE
8,角门，马家堡，洋桥，满五年唯一正规二居室,403,57245,non_co_ownership,70.4,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.72707349953575,39.26353276885257,None,None,FALSE
9,洋桥，马家堡，角门东里小区二居室,325,60063,non_co_ownership,54.11,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,116.80887714324521,40.295968922746106,None,None,FALSE
10,角门西，地铁4号线10号线，高楼层，采光好,420,58766,non_co_ownership,71.47,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,south,no,no,no,no,no,no,2,115.43126443374453,40.277166283001556,None,None,FALSE
11,10号线角门东怡然家园全南向两居室中楼层,500,57294,non_co_ownership,87.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,2,115.38830911372612,40.96728228175973,None,None,FALSE
12,马家堡 首座绿洲 精装一居 满五唯一 双线地铁,365,58729,non_co_ownership,62.15,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,21,no,no,no,north,no,no,no,no,1,115.20785279646014,39.03571222659454,None,None,FALSE
13,马家堡 角门 正规三居带客厅  商品房 无遮挡 采光好,470,55191,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,116.83611095702925,40.07461548640892,None,None,FALSE
14,4号线、10号线双地铁  南北通透 满五年唯一 必看好房,375,50141,non_co_ownership,74.79,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,3,115.34893968182904,39.17355493981508,None,None,FALSE
15,马家堡 角门 角门东里 高楼层精装修 满五年唯一,463,51076,co_ownership,90.65,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,no,no,southwest,no,3,115.95766131648587,40.52535769222668,None,None,FALSE
16,10号线角门东怡然家园大三居南北通透商品房诚心卖,745,55689,non_co_ownership,133.78,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,16,no,south,no,north,no,no,no,no,3,116.51278706012319,40.22360148688811,None,None,FALSE
17,马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418,61525,non_co_ownership,67.94,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,116.91989428444,39.455742732107936,None,None,FALSE
18,马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750,56673,non_co_ownership,132.34,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,11,no,south,no,north,no,no,no,no,3,116.31276436550282,40.526862790302594,None,None,FALSE
19,马家堡 大红门35号院 南北朝向 正规两居,240,36370,non_co_ownership,65.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,basement,6,no,south,no,north,no,no,no,no,2,115.19555653794556,39.39983173930294,None,None,FALSE
20,司达小区3居，南北通透，2层/6层,319,56005,non_co_ownership,56.96,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,south,no,north,no,no,no,no,3,116.79251661440527,40.95855668449207,None,None,FALSE
21,10号线角门东怡然家园6号院带电梯商品房两居室诚心卖,316,58368,non_co_ownership,54.14,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,north,no,no,no,no,2,115.31039254721813,40.73877808759408,None,None,FALSE
22,满五年，双地铁，4号线和10号线,259,44942,co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,18,no,no,west,no,no,no,no,no,1,116.21871168035895,40.08063367941408,None,None,FALSE
23,4+10号线角门西地铁，全南向两居室，无遮挡，采光好,510,56373,non_co_ownership,90.47,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,15,no,south,no,no,no,no,no,no,2,115.44728337718902,40.242241185455086,None,None,FALSE
24,10号线角门东大红门35号院低楼层两居室商品房诚心售,360,53350,non_co_ownership,67.48,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2,116.59160812450192,39.67865189663016,None,None,FALSE
25,康缘居 南北通透 两居室 带电梯 楼龄新 房本满五年,455,50924,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,115.8021829013209,40.80418807963593,None,None,FALSE
26,西马场路6号院 有钥匙商品房 诚意出售,570,50479,non_co_ownership,112.92,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.333333333,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,116.05177365730925,39.66296917829538,None,None,FALSE
27,角门东里 满五唯一 诚心出售 10号线4号线角门西地铁,447,52601,non_co_ownership,84.98,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,no,no,no,northeast,no,no,2,115.72878205332867,39.37558325104988,None,None,FALSE
28,马家堡角门 低楼层 西南两居 交通便利,310,60547,non_co_ownership,51.2,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,no,no,no,no,no,southwest,no,2,115.97628917946443,40.77050608655122,None,None,FALSE
29,角门 洋桥 角门东里 满五 全明格局,335,56021,non_co_ownership,59.8,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.63005143929453,39.439610914317406,None,None,FALSE
30,马家堡  角门  精装修  复式格局  南北通透  近地铁,460,69877,non_co_ownership,65.83,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,116.93018863904571,40.92963340169325,None,None,FALSE
31,房子满五年唯一，精装修，近地铁，交通便利，楼龄新,608,60552,non_co_ownership,100.41,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,north,no,no,no,no,2,116.54258700768452,39.06356082345024,None,None,FALSE
32,角门，阳光花园，人车分流，南北通透全明格局,1050,75698,non_co_ownership,138.71,flat_floor,Banlou,steel_concrete_structure,simple_decoration,1,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,high_floor,19,no,south,no,north,no,no,no,no,3,116.33220271479041,39.658125442113565,None,None,FALSE
33,角门甲4号院 精装修 南向采光无遮挡 近地铁10号线诚售,280,65011,non_co_ownership,43.07,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,1,115.73760083681806,39.50594923431819,None,None,FALSE
34,马家堡商圈 角门东里 南北通透 满五年唯一 近10号线,329,62667,non_co_ownership,52.5,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,115.36303749213513,40.63492166640581,None,None,FALSE
35,角门马家堡大红门精装复式怡然家园6号院,999,53142,co_ownership,187.99,duplex,banta_combination,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,2,1,2,top_floor,11,no,south,no,north,no,no,no,no,3,115.84977071011285,40.22500635008623,None,None,FALSE
36,大红门 西马场北里 南北通透两居室 满五唯一,339,62778,non_co_ownership,54,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,116.48932331508912,40.990987265610954,None,None,FALSE
37,诚心出售 10号线角门东/4号线角门西地铁  角门东里,330,57292,non_co_ownership,57.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.32387827392488,39.55752610108483,None,None,FALSE
38,洋桥 角门 马家堡 复式三居 满五唯一 南北通透近地铁,572,59858,non_co_ownership,95.56,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,116.15982322899957,39.56106274645194,None,None,FALSE
39,马家堡 枫南世嘉 满五年，电梯，采光好，格局方正,580,56278,non_co_ownership,103.06,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,west,no,no,no,no,no,3,115.26507791447874,40.900578349074564,None,None,FALSE
40,10号线马家堡角门东怡然家园满五唯一南北通透三居室,680,54188,non_co_ownership,125.49,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,bottom_floor,11,no,south,no,north,no,no,no,no,3,115.63809272485996,39.284597093032595,None,None,FALSE
41,精装修南北三居室，诚意出售，看房方便,458,55435,co_ownership,82.62,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3,116.09050884885504,39.45842393757175,None,None,FALSE
42,角门 西马小区  南北通透 正规三居 带客厅 采光充足,468,54956,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,115.26157519012834,40.007786293274684,None,None,FALSE
43,角门甲4号院 南北低楼层 视野开阔,330,59643,non_co_ownership,55.33,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.87664863585933,39.19312842210487,None,None,FALSE
44,怡然家园6号院精装修大客厅复式  无遮挡无浪费,645,55503,non_co_ownership,116.21,duplex,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,no,no,no,no,no,2,115.91631346198487,39.0176314580849,None,None,FALSE
45,首座绿洲 南向 三居室 中间层 采光好,780,61423,non_co_ownership,126.99,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,21,no,south,no,no,no,no,no,no,3,116.78144229418712,40.746558792533435,None,None,FALSE
46,满五唯一，电梯，公摊小，户型好,892,53986,non_co_ownership,165.23,duplex,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,3,1,2,high_floor,7,no,south,no,north,no,no,no,no,4,115.53840117335045,40.92432139659755,None,None,FALSE
47,马家堡 10号线角门东  正规两居室  南北通透 不临街,420,55748,non_co_ownership,75.34,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,115.26164887130449,40.786694033196625,None,None,FALSE
48,司达小区，马家堡角门，不临街，满五唯一。,351,52950,non_co_ownership,66.29,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,115.42078293724852,39.08541932419363,None,None,FALSE
49,马家堡 角门 角门东里 南北两居 值得一看,289,48490,non_co_ownership,59.6,flat_floor,Banlou,mixed_structure,others,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.45899666574495,40.078664144235425,None,None,FALSE
50,南北通透无遮挡，采光好，视野佳，人车分流,685,78367,non_co_ownership,87.41,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.666666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,19,no,south,no,north,no,no,no,no,2,115.63735880426218,40.65578725665587,None,None,FALSE
51,马家堡 角门 角门东里 大两居,410,55684,non_co_ownership,73.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,east,south,no,north,no,no,no,no,2,116.12320230811555,39.40211305614565,None,None,FALSE
52,司达小区 全南向两居室 采光好,278,55050,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,2,115.57390465756127,39.961872438516586,None,None,FALSE
53,马家堡，角门正规两居，东南角，中间层，精装修,320,62955,non_co_ownership,50.83,flat_floor,tower,mixed_structure,hardcover,0.2,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,no,no,no,southeast,no,no,no,2,115.94264216428789,40.494360901363336,None,None,FALSE
54,角门东马家堡大红门洋桥一居室，户型方正，采光好,298,51710,non_co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,east,no,west,no,no,no,no,no,1,115.50043644021054,39.44310774733566,None,None,FALSE
55,角门东里 正规南北通透三居 双地铁10号线和4号线,420,60958,non_co_ownership,68.9,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,115.5108614381977,40.691147128242875,None,None,FALSE
56,此房是满五不唯一商品房，全朝南,420,62473,co_ownership,67.23,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,no,no,no,no,no,1,115.52754201485095,40.64990224239261,None,None,FALSE
57,马家堡 角门精装修低楼层一居室,268,62038,non_co_ownership,43.2,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,no,no,no,no,no,no,1,116.0176181457018,40.12691373603063,None,None,FALSE
58,10号线4号线双地铁 中间楼层 南向 采光好 诚意出售,318,69707,non_co_ownership,45.62,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,7,no,south,no,no,no,no,no,no,1,116.61662669730653,40.3432790400848,None,None,FALSE
59,杏林园 正规一居室 南北通透 周边配套齐全,350,54594,non_co_ownership,64.11,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,18,no,south,no,north,no,no,no,no,1,115.73394092206023,40.5643616024624,None,None,FALSE
60,角门甲8号院  满五年唯一 大一居室,368,51824,non_co_ownership,71.01,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,21,no,no,no,no,no,no,no,northwest,1,116.68652833322867,40.45574327517734,None,None,FALSE
61,角门东里 2室1厅 南 北,313,54721,co_ownership,57.2,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.1504377966634,39.67178773260842,None,None,FALSE
62,10号线马家堡角门东大红门35号院全南一居室满五唯一,275,54716,non_co_ownership,50.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,1,116.8813814644544,39.45292531122207,None,None,FALSE
63,马家堡大红门角门10号线角门东地铁南北通透户型方正,655,58285,non_co_ownership,112.38,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,north,no,no,no,no,3,116.17677548957472,40.2782017317279,None,None,FALSE
64,满5唯一   诚心出售   电梯房,375,48425,non_co_ownership,77.44,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,west,no,no,no,no,no,2,115.64401078585499,40.9931565191881,None,None,FALSE
65,角门东里 正规三居室 南北通透 随时签约,390,50650,non_co_ownership,77,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,116.01899584170155,39.93406755111937,None,None,FALSE
66,马家堡 洋桥 角门 低楼层 一居室 精装修,290,76924,non_co_ownership,37.7,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2,115.3867354094022,40.84037813801609,None,None,FALSE
67,角门东里，精装修，两居室，双地铁,405,52326,non_co_ownership,77.4,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,2,116.7996657987199,39.54472945591348,None,None,FALSE
68,马家堡角门东里  南北通透低楼层  交通便利,410,61562,non_co_ownership,66.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3,116.63428537907598,40.320703482170615,None,None,FALSE
69,经理推荐角门东里南北向采光好两居室,297,52225,non_co_ownership,56.87,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.0763681521377,39.29604210685776,None,None,FALSE
70,马家堡 大红门 两居室 2000年后配套齐全,465,58869,non_co_ownership,78.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2,116.2124986197141,39.786796234471005,None,None,FALSE
71,10号线角门东35号院四百多万小三居商品房诚心卖,438,50213,non_co_ownership,87.23,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,no,no,no,no,no,3,115.73114219913799,39.194618169932056,None,None,FALSE
72,马家堡甲120号院 三居室 户型方正 南北通透,465,71254,non_co_ownership,65.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3,115.14779101209933,39.09995314409686,None,None,FALSE
73,马家堡角门两居室，近地铁，满五唯一,320,57338,non_co_ownership,55.81,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,116.71475767885943,40.760705566726074,None,None,FALSE
74,马家堡角门全南向两居室满五唯一,275,54456,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,no,no,no,no,no,2,115.53834072142718,39.976461648748035,None,None,FALSE
