id ,title,price, unit price,Property information,floor area,House structure,Building Type,Architectural structure,Interior design,ladder ratio,heating,elevator,District,Specific area,hall,kitchen,toilet,Floor type,total floors,east,south,west,north,east-south,east-north,west-south,west-north,room,Longtitude,Latitude,PublishTime,imgUrl,collected,saled
0,Majiapu Jiaomen has two bedrooms and two balconies with open north-south and convenient transportation,399,52897,non_co_ownership,75.43,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,west,north,no,no,no,no,2,116.0374015,40.55955971,None,None,FALSE,FALSE
1,Majiapu Jiaomen is close to the subway. The north-south transparent pattern is good and the lighting is sufficient.,416,60203,non_co_ownership,69.1,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,116.3322441,40.53585974,None,None,FALSE,FALSE
2,"Jiaomen East Lane, the only one with full five years old, sincerely sold, convenient for viewing",377,51202,co_ownership,73.63,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,southeast,no,no,no,2,115.3411464,39.26795906,None,None,FALSE,FALSE
3,Jiaomen Majiapu Jiaomen Dongli South to Two-bedroom Jiaomen East Station,387,59723,non_co_ownership,64.8,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,no,2,116.4365542,40.10435028,None,None,FALSE,FALSE
4,"Majiapu Jiaomen is transparent from north to south, the low floor is full of five only two bedrooms",305,56587,non_co_ownership,53.9,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.3856646,40.35608457,None,None,FALSE,FALSE
5,Jiaomen Majiabao Manwu Only Metro Line 10 Line 4 Jiaomen West Station,330,60999,non_co_ownership,54.1,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,116.50478,40.76993713,None,None,FALSE,FALSE
6,Three-bedroom low-floor fine decoration in Majiapu Jiaomen Dongsida Community,398,52286,non_co_ownership,76.12,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,115.6790843,40.30687703,None,None,FALSE,FALSE
7,Sunshine Garden Jiaomen East Majiapu Dahongmen North and South two residences,680,75564,co_ownership,89.99,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,top_floor,19,no,south,no,north,no,no,no,no,2,115.059349,39.01836858,None,None,FALSE,FALSE
8,"Jiaomen, Majiapu, Yangqiao, the only formal two-bedroom apartment for five years",403,57245,non_co_ownership,70.4,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.7270735,39.26353277,None,None,FALSE,FALSE
9,"Yangqiao, Majiapu, Jiaomen Dongli Community Two-bedroom",325,60063,non_co_ownership,54.11,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,116.8088771,40.29596892,None,None,FALSE,FALSE
10,"Jiaomen West, Metro Line 4 and Line 10, high floors, good lighting",420,58766,non_co_ownership,71.47,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,south,no,no,no,no,no,no,2,115.4312644,40.27716628,None,None,FALSE,FALSE
11,"Line 10, Jiaomen East Yiran Homeland, South-facing two-bedroom middle floor",500,57294,non_co_ownership,87.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,2,115.3883091,40.96728228,None,None,FALSE,FALSE
12,"The first oasis in Majiapu, the only two-line subway",365,58729,non_co_ownership,62.15,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,21,no,no,no,north,no,no,no,no,1,115.2078528,39.03571223,None,None,FALSE,FALSE
13,Majiapu Jiaomen formal three-bedroom commercial house with living room without shading and good lighting,470,55191,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,116.836111,40.07461549,None,None,FALSE,FALSE
14,Line 4 and Line 10 double subways are the only must-see housing for five years,375,50141,non_co_ownership,74.79,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,3,115.3489397,39.17355494,None,None,FALSE,FALSE
15,Majiapu Jiaomen Jiaomen Dongli high-rise floor is the only one after five years of fine decoration,463,51076,co_ownership,90.65,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,no,no,southwest,no,3,115.9576613,40.52535769,None,None,FALSE,FALSE
16,Line 10 Jiaomen East Yiran Homeland Big Sanju North-South Transparent Commercial Housing Sincerely Selling,745,55689,non_co_ownership,133.78,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,16,no,south,no,north,no,no,no,no,3,116.5127871,40.22360149,None,None,FALSE,FALSE
17,"Majiapu Jiaomen This house is the only house under the name of the family for five years, and the low floor has good lighting.",418,61525,non_co_ownership,67.94,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,116.9198943,39.45574273,None,None,FALSE,FALSE
18,Majiapu Jiaomen is the only house on the middle floor of the large three-bedroom house for five years,750,56673,non_co_ownership,132.34,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,11,no,south,no,north,no,no,no,no,3,116.3127644,40.52686279,None,None,FALSE,FALSE
19,"Courtyard No. 35, Dahongmen, Majiapu, facing north and south, two regular residences",240,36370,non_co_ownership,65.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,basement,6,no,south,no,north,no,no,no,no,2,115.1955565,39.39983174,None,None,FALSE,FALSE
20,"Sida Community 3 bedrooms, transparent north-south, 2 floors/6 floors",319,56005,non_co_ownership,56.96,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,south,no,north,no,no,no,no,3,116.7925166,40.95855668,None,None,FALSE,FALSE
21,Line 10 Jiaomen East Yiran Jiayuan No. 6 Commodity House with Elevator Two-Bedroom House Sincerely Selling,316,58368,non_co_ownership,54.14,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,north,no,no,no,no,2,115.3103925,40.73877809,None,None,FALSE,FALSE
22,"Fully five years, double subway, line 4 and line 10",259,44942,co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,18,no,no,west,no,no,no,no,no,1,116.2187117,40.08063368,None,None,FALSE,FALSE
