,Unnamed: 0,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
0,0,马家堡角门南北通透两居室  双阳台 交通便利,399.0,52897.0,non_co_ownership,75.43,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,west,north,no,no,no,no,2
1,1,马家堡角门近地铁 南北通透 格局好 采光充足 配套齐全,416.0,60203.0,non_co_ownership,69.1,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2
2,2,角门东里，满五唯一，诚心出售，看房方便,377.0,51202.0,co_ownership,73.63,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,southeast,no,no,no,2
3,3,角门 马家堡  角门东里  南向两居室角门东站,387.0,59723.0,non_co_ownership,64.8,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,no,south,no,no,no,no,no,no,2
4,4,马家堡角门 南北通透 低楼层满五唯一 两居室,305.0,56587.0,non_co_ownership,53.9,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2
5,5,角门马家堡 满五唯一 地铁10号线4号线角门西站,330.0,60999.0,non_co_ownership,54.1,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2
6,6,马家堡角门东司达小区三居室低楼层精装修,398.0,52286.0,non_co_ownership,76.12,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3
7,7,阳光花园角门东马家堡大红门南北两居,680.0,75564.0,co_ownership,89.99,flat_floor,Banlou,steel_concrete_structure,hardcover,1.0,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,top_floor,19,no,south,no,north,no,no,no,no,2
8,8,角门，马家堡，洋桥，满五年唯一正规二居室,403.0,57245.0,non_co_ownership,70.4,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2
9,9,洋桥，马家堡，角门东里小区二居室,325.0,60063.0,non_co_ownership,54.11,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2
10,10,角门西，地铁4号线10号线，高楼层，采光好,420.0,58766.0,non_co_ownership,71.47,flat_floor,tower,steel_concrete_structure,simple_decoration,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,south,no,no,no,no,no,no,2
11,11,10号线角门东怡然家园全南向两居室中楼层,500.0,57294.0,non_co_ownership,87.27,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,2
12,12,马家堡 首座绿洲 精装一居 满五唯一 双线地铁,365.0,58729.0,non_co_ownership,62.15,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,21,no,no,no,north,no,no,no,no,1
13,13,马家堡 角门 正规三居带客厅  商品房 无遮挡 采光好,470.0,55191.0,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3
14,14,4号线、10号线双地铁  南北通透 满五年唯一 必看好房,375.0,50141.0,non_co_ownership,74.79,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,3
15,15,马家堡 角门 角门东里 高楼层精装修 满五年唯一,463.0,51076.0,co_ownership,90.65,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,19,no,no,no,north,no,no,southwest,no,3
16,16,10号线角门东怡然家园大三居南北通透商品房诚心卖,745.0,55689.0,non_co_ownership,133.78,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,16,no,south,no,north,no,no,no,no,3
17,17,马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418.0,61525.0,non_co_ownership,67.94,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3
18,18,马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750.0,56673.0,non_co_ownership,132.34,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,11,no,south,no,north,no,no,no,no,3
19,19,马家堡 大红门35号院 南北朝向 正规两居,240.0,36370.0,non_co_ownership,65.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,basement,6,no,south,no,north,no,no,no,no,2
20,20,司达小区3居，南北通透，2层/6层,319.0,56005.0,non_co_ownership,56.96,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,south,no,north,no,no,no,no,3
21,21,10号线角门东怡然家园6号院带电梯商品房两居室诚心卖,316.0,58368.0,non_co_ownership,54.14,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,north,no,no,no,no,2
22,22,满五年，双地铁，4号线和10号线,259.0,44942.0,co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,18,no,no,west,no,no,no,no,no,1
23,23,4+10号线角门西地铁，全南向两居室，无遮挡，采光好,510.0,56373.0,non_co_ownership,90.47,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,15,no,south,no,no,no,no,no,no,2
24,24,10号线角门东大红门35号院低楼层两居室商品房诚心售,360.0,53350.0,non_co_ownership,67.48,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2
25,25,康缘居 南北通透 两居室 带电梯 楼龄新 房本满五年,455.0,50924.0,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.2222222222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2
26,26,西马场路6号院 有钥匙商品房 诚意出售,570.0,50479.0,non_co_ownership,112.92,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.3333333333333333,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2
27,27,角门东里 满五唯一 诚心出售 10号线4号线角门西地铁,447.0,52601.0,non_co_ownership,84.98,flat_floor,tower,steel_concrete_structure,hardcover,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,no,no,no,northeast,no,no,2
28,28,马家堡角门 低楼层 西南两居 交通便利,310.0,60547.0,non_co_ownership,51.2,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,no,no,no,no,no,southwest,no,2
29,29,角门 洋桥 角门东里 满五 全明格局,335.0,56021.0,non_co_ownership,59.8,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2
30,30,马家堡  角门  精装修  复式格局  南北通透  近地铁,460.0,69877.0,non_co_ownership,65.83,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3
31,31,房子满五年唯一，精装修，近地铁，交通便利，楼龄新,608.0,60552.0,non_co_ownership,100.41,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,north,no,no,no,no,2
32,32,角门，阳光花园，人车分流，南北通透全明格局,1050.0,75698.0,non_co_ownership,138.71,flat_floor,Banlou,steel_concrete_structure,simple_decoration,1.0,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,high_floor,19,no,south,no,north,no,no,no,no,3
33,33,角门甲4号院 精装修 南向采光无遮挡 近地铁10号线诚售,280.0,65011.0,non_co_ownership,43.07,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,1
34,34,马家堡商圈 角门东里 南北通透 满五年唯一 近10号线,329.0,62667.0,non_co_ownership,52.5,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2
35,35,角门马家堡大红门精装复式怡然家园6号院,999.0,53142.0,co_ownership,187.99,duplex,banta_combination,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,2,1,2,top_floor,11,no,south,no,north,no,no,no,no,3
36,36,大红门 西马场北里 南北通透两居室 满五唯一,339.0,62778.0,non_co_ownership,54.0,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2
37,37,诚心出售 10号线角门东/4号线角门西地铁  角门东里,330.0,57292.0,non_co_ownership,57.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2
38,38,洋桥 角门 马家堡 复式三居 满五唯一 南北通透近地铁,572.0,59858.0,non_co_ownership,95.56,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3
39,39,马家堡 枫南世嘉 满五年，电梯，采光好，格局方正,580.0,56278.0,non_co_ownership,103.06,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.3333333333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,west,no,no,no,no,no,3
40,40,10号线马家堡角门东怡然家园满五唯一南北通透三居室,680.0,54188.0,non_co_ownership,125.49,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,bottom_floor,11,no,south,no,north,no,no,no,no,3
